Date,Equity,dayProfit%,dayProfit%,,
2010-09-29,1710954.011886,-1.454,XIV - 1.00 - false,,
2010-09-30,1667345.591886,-2.549,XIV - 1.00 - false,,
2010-10-01,1699486.511886,1.928,XIV - 1.00 - false,,
2010-10-04,1676533.011886,-1.351,XIV - 1.00 - false,,
2010-10-05,1756881.111886,4.793,XIV - 1.00 - false,,
2010-10-06,1777532.511886,1.175,XIV - 1.00 - false,,
2010-10-07,1791298.491886,0.774,XIV - 1.00 - false,,
2010-10-08,1860122.991886,3.842,XIV - 1.00 - false,,
2010-10-11,1905988.991886,2.466,XIV - 1.00 - false,,
2010-10-12,1967892.971886,3.248,XIV - 1.00 - false,,
2010-10-13,2013733.171886,2.329,XIV - 1.00 - false,,
2010-10-14,1954154.691886,-2.959,XIV - 1.00 - false,,
2010-10-15,1970200.021886,0.821,XIV - 1.00 - false,,
